Timestamp,1.  Do you use Video Streaming Platform?,2. How frequently you watch or stream online platforms ?,3. Which of the following Video Streaming Platform do you currently use?,4. What do you watch the most on video streaming platform? ,5. Which type of web series or movies do you prefer most?,6.  Have you watch or familiar with these original web series of Netflix.,7. Have you watch or familiar with these original web series of Amazon  Prime.,8. Have you watch or familiar with these original web series of Hotstar.,9. Have you watch or familiar with these original web series of Hulu.,10. What is your age?,11. From where did you get the idea of these web series.,12. On what basis you frequently choose your movies or web series.,13. How long you are using these video streaming platforms.,14. Choose the features which you think is essential on your streaming platforms.,15. How was your overall experience of video streaming platforms according to original web series.,16. Would you like to give any suggestion for the improvement.
3/1/2021 16:41,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Others","Comedy, Others","Money Heist, Standup Comedy","Tandav, Standup Comedy , The Family man   , Panchayat.",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Recommendation, Ease of use",Good,"Yes, faster next season."
3/1/2021 19:44,Yes,Monthly,"Netflix, Prime",Movies,"Action, Drama, Comedy",Money Heist,"Standup Comedy , The Family man   , Panchayat.",None of the above,The Ultimate Playlist of Noise,18-30,"Family/Friends Recommendation, Social Media","Story, Director",Less than 1 year,"Search option, Recommendation",Excellent,No
3/1/2021 20:44,Yes,Daily,"Netflix, Prime, Hotstar, Hulu","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya","Helstorm, Monsterland, Woke, The Ultimate Playlist of Noise, None of the above",18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Excellent,Nothing
3/1/2021 20:45,Yes,Daily,Hulu,"Movies, Sports and News",Action,"13 Reasons Why, The Witcher","Made in heaven, Tandav, Breath into the shadow ","Hostages, Arya","Monsterland, None of the above",18-30,"Television, Social Media","Cast, Director",More than 2 years,Ease of use,Excellent,Nothing
3/2/2021 21:06,Yes,Daily,"Netflix, Prime, Hotstar, Zee5","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist, Cursed","Mirzapur, Made in heaven, Tandav, Breath into the shadow , Bandish Bandits","Special OPS, Hostages, Criminal Justice, Arya, 1962",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",More than 2 years,"Recommendation, Ease of use",Excellent,Need more web series like Money Heist
3/3/2021 10:53,Yes,Daily,"Hotstar, Zee5","Movies, Others","Action, Drama, Comedy, Horror, Others","13 Reasons Why, Cursed","Mirzapur, Breath into the shadow ","Hostages, Criminal Justice, 1962",Monsterland,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,I think ðŸ¤” no 
3/3/2021 11:17,Yes,Daily,Hotstar,"Original web series, Movies","Action, Drama, Comedy, Others",13 Reasons Why,Made in heaven,"Hostages, Criminal Justice",None of the above,18-30,"Television, Social Media","Cast, Story",More than 2 years,"Recommendation, Ease of use",Good,No
3/3/2021 11:24,Yes,Daily,Netflix,Original web series,"Action, Drama, Comedy, Horror, Others","Sacred Games, The Witcher, Money Heist",Breath into the shadow ,"Special OPS, Hostages, Criminal Justice, Arya","Helstorm, Monsterland, Woke, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Television",Story,More than 2 years,Ease of use,Excellent,"Yes , There is no Maharashtrian series has been added by you , please do this .Thanks ! "
3/3/2021 11:28,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others","The Witcher, Lucifer",Legacies,"Criminal Justice, Arya, Roar of the lion, City of dreams",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,Less time gap between seasons
3/3/2021 11:46,Yes,Once or twice in a week,Netflix,Original web series,Comedy,None of the above,None of the above,None of the above,None of the above,18-30,Social Media,Story,Less than 1 year,Search option,Fair,No suggestions
3/3/2021 11:46,Yes,Daily,Netflix,"Original web series, Documentaries","Drama, Comedy, Horror","Sacred Games, Lucifer","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice","Helstorm, Monsterland, The Ultimate Playlist of Noise",18-30,Social Media,Story,More than 2 years,Recommendation,Excellent,Present the untold stories
3/3/2021 12:31,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others","Sacred Games, The Witcher","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,Search option,Good,NO 
3/3/2021 13:22,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Sports and News","Action, Drama, Comedy, Horror, Others",None of the above,Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,Social Media,Story,Less than 1 year,Search option,Good,no
3/3/2021 15:20,Yes,Monthly,Netflix,Documentaries,"Action,Drama",The Witcher,None of the above,None of the above,None of the above,31-50,Family/Friends Recommendation,Director,More than 2 years,Accessibility,Improvement Needed,m
3/3/2021 15:43,Yes,Daily,"Netflix, Prime, Hotstar, Zee5","Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Lucifer","Mirzapur, Made in heaven, The The Family man   ","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,Untold stories
3/3/2021 15:50,Yes,Monthly,Netflix,Original web series,"Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",Mirzapur,"Hostages, Criminal Justice",None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,Recommendation,Good,Nothing
3/3/2021 16:06,Yes,Once or twice in a week,Netflix,Original web series,"Action, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Tandav","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,No
3/3/2021 16:37,Yes,Monthly,"Netflix, Prime, Hotstar","Original web series, Movies","Action, Horror",Money Heist,Mirzapur,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Good,No
3/3/2021 16:50,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Documentaries","Action, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya","Helstorm, Monsterland, Woke, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation",Excellent,No
3/3/2021 17:11,Yes,Monthly,"Netflix, Hotstar","Original web series, Movies","Comedy, Horror","Sacred Games, Money Heist","Mirzapur, Tandav","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television","Cast, Story",More than 2 years,Recommendation,Good,No
3/3/2021 17:36,Yes,Monthly,Hotstar,"Original web series, Movies","Drama, Horror",None of the above,Mirzapur,Hostages,None of the above,18-30,Social Media,Cast,Less than 1 year,Search option,Good,No
3/3/2021 17:54,Yes,Once or twice in a week,Hotstar,Sports and News,Action,None of the above,Mirzapur,Special OPS,None of the above,18-30,Family/Friends Recommendation,Story,Less than 1 year,Accessibility,Good,No
3/3/2021 18:37,Yes,Daily,Prime,Original web series,"Action, Others",Sacred Games,Mirzapur,"Special OPS, Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Ease of use",Excellent,Add more options
3/3/2021 18:37,Yes,Once or twice in a week,"Netflix, Hotstar",Original web series,"Drama, Comedy",None of the above,Mirzapur,None of the above,None of the above,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Fair,No
3/3/2021 18:49,Yes,Once or twice in a week,Netflix,Original web series,Horror,13 Reasons Why,Mirzapur,None of the above,None of the above,18-30,Social Media,Story,Between 1 and 2 years,Accessibility,Good,No
3/3/2021 19:47,Yes,Once or twice in a week,Hotstar,Movies,"Action, Drama, Comedy, Horror",13 Reasons Why,Mirzapur,Criminal Justice,None of the above,18-30,Social Media,Story,More than 2 years,Search option,Good,No
3/3/2021 21:06,Yes,Monthly,"Netflix, Hotstar","Original web series, Sports and News","Comedy, Horror",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,No
3/3/2021 21:07,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Horror","Sacred Games, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Excellent,NA
3/3/2021 21:09,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies","Action, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",Mirzapur,None of the above,None of the above,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Recommendation,Good,No
3/3/2021 21:10,Yes,Once or twice in a week,"Netflix, Prime",Original web series,"Comedy, Others",Guilty ,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,Ease of use,Good,Price should be lowered.
3/3/2021 21:50,Yes,Once or twice in a week,"Netflix, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya","Monsterland, Woke",18-30,"Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,No
3/3/2021 22:21,Yes,Daily,"Netflix, Prime, Hotstar, Hulu, Thop tv, telegram etc","Original web series, Movies","Action, Drama, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,More than 2 years,Ease of use,Excellent,No its all good 
3/3/2021 22:22,Yes,Daily,Youtube,Original web series,"Action, Drama, Comedy",None of the above,"Mirzapur, Breath into the shadow ","Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",More than 2 years,Search option,Excellent,Nothing to suggest 
3/3/2021 22:23,Yes,Daily,Hotstar,Sports and News,Action,None of the above,None of the above,None of the above,None of the above,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Excellent,Nothing 
3/3/2021 22:24,Yes,Daily,Hotstar,"Original web series, Movies, Sports and News",Comedy,None of the above,None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Ease of use",Good,No
3/3/2021 22:24,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,Social Media,"Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Improvement Needed,It's very difficult to find out the movies
3/3/2021 22:24,Yes,Daily,Prime,Original web series,"Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,Social Media,"Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Improvement Needed,It's very difficult to find out the movies
3/3/2021 22:26,Yes,Daily,Hotstar,"Original web series, Movies, Sports and News","Drama, Comedy",None of the above,None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Ease of use",Good,No
3/3/2021 22:37,Yes,Daily,"Prime, Hotstar",Others,"Comedy, Horror",None of the above,Mirzapur,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television",Story,More than 2 years,Accessibility,Good,Nothing
3/3/2021 22:39,Yes,Daily,Netflix,Movies,Others,Sacred Games,Breath into the shadow ,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,Story,More than 2 years,Accessibility,Good,No
3/3/2021 22:40,Yes,Daily,Prime,Movies,Drama,Money Heist,Tandav,Arya,None of the above,18-30,Family/Friends Recommendation,Story,Less than 1 year,"Recommendation, Accessibility",Good,16
3/3/2021 22:54,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries","Action, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Made in heaven, Tandav, Bandish Bandits","Special OPS, Hostages, Arya",None of the above,18-30,Advertisement Banner,Story,Between 1 and 2 years,"Recommendation, Ease of use",Good,I would like to suggest that all the online streaming platform should provide content or we can say web series in different different languages so that people tend to watch more web show i.e web series. 
3/4/2021 9:34,Yes,Daily,Hotstar,"Movies, Others","Action, Drama, Comedy",Sacred Games,Tandav,Arya,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,Recommendation,Good,No 
3/4/2021 17:08,Yes,Daily,"Netflix, Hotstar","Movies, Sports and News","Action, Horror","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Tandav","Hostages, Criminal Justice","Monsterland, The Ultimate Playlist of Noise",18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,"Search option, Recommendation",Improvement Needed,No thankyou
3/4/2021 19:23,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies","Action, Horror, Others","Sacred Games, Money Heist",Mirzapur,Hostages,None of the above,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Good,Make it free
3/5/2021 14:04,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy, Horror, Others",Sacred Games,Mirzapur,Arya,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use",Good,Improve feature of web series
3/5/2021 14:08,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya","Helstorm, Monsterland, Woke, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation, Ease of use",Excellent,Improve of action and drama and comedy also
3/5/2021 17:01,Yes,Daily,Netflix,Original web series,Others,"Sacred Games, Money Heist",Mirzapur,"Special OPS, Hostages",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,Recommendation,Excellent,NA
3/5/2021 17:02,Yes,Once or twice in a week,Netflix,"Original web series, Movies, Documentaries","Action, Comedy","Sacred Games, Money Heist",Mirzapur,Special OPS,None of the above,18-30,Family/Friends Recommendation,Story,More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,..
3/5/2021 17:09,Yes,Once or twice in a week,Hotstar,Sports and News,Action,None of the above,Mirzapur,Arya,Helstorm,18-30,Television,Director,More than 2 years,Accessibility,Excellent,No
3/5/2021 17:12,Yes,Daily,Youtube,Others,"Action, Drama, Comedy",None of the above,None of the above,None of the above,None of the above,18-30,Social Media,Story,More than 2 years,Search option,Good,NA
3/5/2021 17:15,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries","Action, Comedy, Horror","Sacred Games, The Witcher, Money Heist","Mirzapur, Tandav","Special OPS, Hostages, Arya","Helstorm, Woke, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation, Accessibility",Excellent,No
3/5/2021 17:16,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,I would just give one suggestion please allow cast screen on television.
3/5/2021 17:17,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Comedy",13 Reasons Why,"Mirzapur, Made in heaven, Tandav","Special OPS, Criminal Justice","Helstorm, Woke",18-30,Social Media,"Story, Director",Between 1 and 2 years,Recommendation,Excellent,No
3/5/2021 17:18,Yes,Monthly,Hotstar,"Original web series, Documentaries",Action,Money Heist,Mirzapur,None of the above,None of the above,18-30,Family/Friends Recommendation,Story,None,Search option,Improvement Needed,NA
3/5/2021 17:24,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Others","Drama, Horror, Others","Sacred Games, 13 Reasons Why","Mirzapur, Tandav","Hostages, Arya",None of the above,18-30,Social Media,"Cast, Story",More than 2 years,Search option,Good,Nil
3/5/2021 17:28,Yes,Once or twice in a week,"Netflix, Prime, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Excellent,No this is already very Awesome
3/5/2021 17:41,Yes,Daily,Prime,"Original web series, Movies, Sports and News","Action, Drama, Comedy",Sacred Games,Mirzapur,Special OPS,None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No any suggestion
3/5/2021 17:42,Yes,Daily,Hotstar,Original web series,Comedy,Money Heist,Breath into the shadow ,Special OPS,Woke,18-30,"Family/Friends Recommendation, Social Media",Director,More than 2 years,Ease of use,Excellent,Yes
3/5/2021 17:45,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror, Others",Sacred Games,"Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",Helstorm,less than 18,Social Media,Story,Between 1 and 2 years,Recommendation,Excellent,Nothing
3/5/2021 18:47,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,Social Media,"Cast, Story",Between 1 and 2 years,"Recommendation, Ease of use",Good,nope
3/5/2021 18:52,Yes,Monthly,"Netflix, Hotstar",Original web series,"Action, Drama, Horror",13 Reasons Why,Mirzapur,"Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,Recommendation,Excellent,No 
3/5/2021 19:25,Yes,Daily,Prime,"Original web series, Documentaries, Sports and News","Action, Comedy, Horror","Sacred Games, Money Heist","Mirzapur, Made in heaven, Breath into the shadow ","Special OPS, Hostages, Criminal Justice",None of the above,18-30,Family/Friends Recommendation,Story,More than 2 years,Ease of use,Excellent,None
3/5/2021 20:05,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Comedy",Sacred Games,Mirzapur,Criminal Justice,Monsterland,18-30,Family/Friends Recommendation,Story,Between 1 and 2 years,Search option,Excellent,Better
3/5/2021 21:45,Yes,Once or twice in a week,Hotstar,"Movies, Sports and News","Action, Comedy","Sacred Games, 13 Reasons Why",Mirzapur,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,"Cast, Story",More than 2 years,"Recommendation, Ease of use",Good,Nothing
3/5/2021 22:06,Yes,Daily,"Prime, Hotstar",Original web series,Others,Sacred Games,"Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,Director,Less than 1 year,Ease of use,Excellent,Nice
3/5/2021 23:19,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies, Documentaries","Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
3/6/2021 5:03,Yes,Once or twice in a week,Hotstar,"Original web series, Movies","Comedy, Horror",13 Reasons Why,"Mirzapur, Tandav","Hostages, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story",Between 1 and 2 years,"Search option, Ease of use, Accessibility",Fair,Stop posting irritating ads in between frequently
3/6/2021 14:01,Yes,Once or twice in a week,"Netflix, Hotstar",Original web series,Comedy,None of the above,Mirzapur,Criminal Justice,None of the above,18-30,Family/Friends Recommendation,Story,Less than 1 year,Ease of use,Fair,Not much
3/6/2021 14:37,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why","Mirzapur, Tandav","Special OPS, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Fair,None
3/6/2021 19:32,Yes,Once or twice in a week,Hotstar,Original web series,Comedy,None of the above,None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,Social Media,Story,None,Recommendation,Good,No 
3/6/2021 22:46,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries","Action, Drama","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Breath into the shadow ","Special OPS, Hostages, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story, Director",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Excellent,Please add more description
3/6/2021 22:47,Yes,Once or twice in a week,Prime,Original web series,Action,Sacred Games,Mirzapur,Special OPS,The Ultimate Playlist of Noise,18-30,Family/Friends Recommendation,Director,Between 1 and 2 years,Recommendation,Good,Good
3/6/2021 22:50,Yes,Daily,"Netflix, Prime, Hotstar",Movies,Horror,Stranger things. ,Made in heaven,"Hostages, Criminal Justice",None of the above,18-30,Self preference,"Cast, Story",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Improvement Needed,Famous stuff are not available
3/8/2021 21:04,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy, Others",None of the above,"Mirzapur, Made in heaven","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use",Excellent,Need more web series
3/8/2021 21:06,Yes,Once or twice in a week,Hotstar,Original web series,Drama,None of the above,None of the above,"Arya, City of dreams",None of the above,31-50,"Television, Social Media","Cast, Story",Less than 1 year,"Search option, Ease of use",Excellent,No
3/8/2021 21:07,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies, Others","Drama, Comedy",None of the above,"Mirzapur, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation, Ease of use",Good,None
3/9/2021 16:49,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Drama","Sacred Games, 13 Reasons Why, The Witcher","Mirzapur, Tandav",Criminal Justice,Monsterland,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,Recommendation,Good,No
3/9/2021 16:51,Yes,Once or twice in a week,Netflix,Original web series,"Action, Drama, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",Mirzapur,None of the above,"Helstorm, Monsterland",31-50,Social Media,"Cast, Story, Director",More than 2 years,"Search option, Recommendation",Excellent,Need more web series
3/9/2021 16:53,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries","Drama, Comedy",None of the above,None of the above,"Arya, City of dreams",None of the above,31-50,"Television, Social Media","Cast, Director",Between 1 and 2 years,Ease of use,Good,..
3/9/2021 16:56,Yes,Daily,"Prime, Hotstar","Original web series, Documentaries","Drama, Others",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,More language availability
3/9/2021 16:57,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies","Action, Drama","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ",Arya,"Woke, The Ultimate Playlist of Noise",18-30,Social Media,"Cast, Story",More than 2 years,Recommendation,Good,.
